2,0,423.183,469.515
4,3,487.397,549.341
4,1,599.839,3328.24
3,4,2033.86,2046.79
0,4,835.749,827.386
1,1,1700.34,1700.34
2,3,2165.84,2033.86
4,2,1589.52,1216.4
4,2,2349.7,2474.48
1,2,3333.25,423.183
2,3,1204.16,1215.07
1,1,1356.49,1356.49
2,3,324.704,370.394
4,2,599.84,324.704
1,1,1064.5,1064.5
4,0,562.193,621.123
1,2,3339.06,332.189
4,0,1589.53,1229.13
2,4,646.005,727.651
3,2,823.907,646.005
4,0,744.532,643.878
2,2,534.72,534.72
0,3,721.535,720.799
3,1,416.998,3339.06
0,2,2022.47,2218.82
2,0,378.794,417.647
1,3,1364.06,2021.38
4,4,2041.05,2041.05
2,0,332.189,356.511
4,3,487.39,579.075
4,2,723.985,702.682
1,1,1364.12,1364.12
4,1,723.977,3658.45
4,2,744.532,592.248
2,1,918.58,1056.81
4,2,814.732,733.086
3,3,2021.38,2021.38
4,4,1432.35,1432.35
2,2,670.212,670.212
1,2,1526.78,867.231
1,0,1533.99,821.609
2,1,937.507,1204.13
0,3,692.302,691.594
3,2,599.112,592.248
2,1,2818.03,1364.06
0,2,707.911,656.281
3,1,1390.01,1050.36
4,4,649.725,649.725
2,0,711.602,787.332
3,2,728.113,615.134
1,3,1215.19,691.594
4,3,557.774,649.459
1,4,1050.27,1589.52
2,0,568.08,692.302
0,4,631.629,637.403
2,1,1216.4,1050.36
1,0,3673.07,699.783
3,4,856.601,814.734
3,3,2673.57,2673.57
1,4,3673.07,557.774
0,1,735.678,1533.99
4,4,727.651,727.651
0,3,1215.64,1215.07
1,1,3658.45,3658.45
1,0,3658.51,817.066
2,1,439.696,3339.12
1,1,1533.99,1533.99
0,0,721.535,721.535
1,2,1057,1059.23
2,3,867.231,734.942
1,4,3333.25,599.84
4,1,2349.7,1364.06
0,1,1215.64,1050.27
3,3,643.432,643.432
3,3,734.942,734.942
3,3,355.862,355.862
4,3,2349.7,2330.02
0,1,1229.11,1056.9
0,3,2343.6,2342.51
3,4,355.862,599.84
